Time,Temperature (C),CPU Usage %
2023-03-18 21:54:22.050422,0,2.2
2023-03-18 21:54:32.260346,0,2.2
2023-03-18 21:54:42.433738,0,2.3
2023-03-18 21:54:52.607717,0,1.2
2023-03-18 21:55:02.842025,0,1.2
2023-03-18 21:55:13.043666,0,2.2
2023-03-18 21:55:23.317255,0,2.3
2023-03-18 21:55:33.579699,0,2.3
2023-03-18 21:55:43.953749,0,2.6
2023-03-18 21:55:54.192723,0,2.2
2023-03-18 21:56:04.371237,0,2.4
2023-03-18 21:56:14.551570,0,0.6
2023-03-18 21:56:24.731981,0,1.7
2023-03-18 21:56:34.939708,0,2.3
2023-03-18 21:56:45.133195,0,2.2
2023-03-18 21:56:55.334357,0,2.3
2023-03-18 21:57:05.528409,0,2.3
2023-03-18 21:57:15.697375,0,2.2
2023-03-18 21:57:25.876488,0,1.5
2023-03-18 21:57:36.052225,0,1.1
2023-03-18 21:57:46.242373,0,2.5
2023-03-18 21:57:56.449125,0,2.3
2023-03-18 21:58:06.649170,0,2.3
2023-03-18 21:58:16.827986,0,2.2
2023-03-18 21:58:27.008060,0,2.6
2023-03-18 21:58:37.200735,0,3
2023-03-18 21:58:47.435591,0,0.5
2023-03-18 21:58:57.613526,0,2
2023-03-18 21:59:07.818944,0,2.3
2023-03-18 21:59:18.015164,0,2.2
2023-03-18 21:59:28.238231,0,2.2
2023-03-18 21:59:38.442819,0,2.5
2023-03-18 21:59:48.617697,0,2.2
2023-03-18 21:59:58.815649,0,1.5
2023-03-18 22:00:08.989116,0,1.1
2023-03-18 22:00:19.205148,0,2.3
2023-03-18 22:00:29.416331,0,2.2
2023-03-18 22:00:39.690930,0,2.5
2023-03-18 22:00:49.898148,0,2.3
2023-03-18 22:01:00.124397,0,2.2
2023-03-18 22:01:10.288450,0,2.2
2023-03-18 22:01:20.475310,0,0.3
2023-03-18 22:01:30.663151,0,2.1
2023-03-18 22:01:40.933745,0,2.5
2023-03-18 22:01:51.190736,0,2.1
2023-03-18 22:02:01.406603,0,2.3
2023-03-18 22:02:11.607014,0,2.7
2023-03-18 22:02:21.778177,0,2.2
2023-03-18 22:02:31.991653,0,1.5
2023-03-18 22:02:42.273021,0,1
2023-03-18 22:02:52.490937,0,2.3
2023-03-18 22:03:02.697805,0,2.4
2023-03-18 22:03:12.905892,0,2.3
2023-03-18 22:03:23.117024,0,2.3
2023-03-18 22:03:33.308998,0,2.5
2023-03-18 22:03:43.775604,0,2.2
2023-03-18 22:03:53.958630,0,0.9
2023-03-18 22:04:04.133374,0,1.6
2023-03-18 22:04:14.421980,0,2.3
2023-03-18 22:04:24.634873,0,2.6
2023-03-18 22:04:34.834880,0,2.6
2023-03-18 22:04:45.079853,0,2.1
2023-03-18 22:04:55.257657,0,2.1
2023-03-18 22:05:05.423264,0,1.8
2023-03-18 22:05:15.598161,0,0.5
2023-03-18 22:05:25.794886,0,2.3
2023-03-18 22:05:36.004563,0,2.4
2023-03-18 22:05:46.314623,0,2.3
2023-03-18 22:05:56.524728,0,2.3
2023-03-18 22:06:06.754824,0,2.3
2023-03-18 22:06:16.994210,0,2.3
2023-03-18 22:06:27.169737,0,1.2
2023-03-18 22:06:37.349326,0,1.6
2023-03-18 22:06:47.545364,0,2.2
2023-03-18 22:06:57.748592,0,2.2
2023-03-18 22:07:07.952807,0,2.3
2023-03-18 22:07:18.144960,0,2.3
2023-03-18 22:07:28.323930,0,2.1
2023-03-18 22:07:38.498077,0,2
2023-03-18 22:07:48.760332,0,0.6
2023-03-18 22:07:58.960421,0,2.4
2023-03-18 22:08:09.158528,0,2.2
2023-03-18 22:08:19.351119,0,2.2
2023-03-18 22:08:29.559598,0,2.2
2023-03-18 22:08:39.757303,0,2.7
2023-03-18 22:08:49.946903,0,2.1
2023-03-18 22:09:00.125897,0,0.8
2023-03-18 22:09:10.306149,0,2.6
2023-03-18 22:09:20.524579,0,2.3
2023-03-18 22:09:30.735731,0,2.3
2023-03-18 22:09:40.946474,0,2.6
2023-03-18 22:09:51.136659,0,2.2
2023-03-18 22:10:01.333108,0,2.2
2023-03-18 22:10:11.502247,0,1.7
2023-03-18 22:10:21.682164,0,0.7
2023-03-18 22:10:31.890423,0,2.3
2023-03-18 22:10:42.288538,0,2.4
2023-03-18 22:10:52.537940,0,2.4
2023-03-18 22:11:02.745271,0,2.3
2023-03-18 22:11:12.942029,0,2.2
2023-03-18 22:11:23.131690,0,2.2
2023-03-18 22:11:33.330151,0,0.9
2023-03-18 22:11:43.629115,0,1.4
2023-03-18 22:11:53.826297,0,2.3
2023-03-18 22:12:04.021581,0,2.3
2023-03-18 22:12:14.225469,0,2.2
2023-03-18 22:12:24.430727,0,2.2
2023-03-18 22:12:34.618702,0,2.3
2023-03-18 22:12:44.817136,0,2.2
2023-03-18 22:12:55.007002,0,0.6
2023-03-18 22:13:05.211607,0,2.5
2023-03-18 22:13:15.434545,0,2.4
2023-03-18 22:13:25.654484,0,2.3
2023-03-18 22:13:35.867493,0,2.4
2023-03-18 22:13:46.076736,0,2.3
2023-03-18 22:13:56.309613,0,2.2
2023-03-18 22:14:06.515587,0,1.1
2023-03-18 22:14:16.689843,0,1.3
2023-03-18 22:14:26.890719,0,2.4
2023-03-18 22:14:37.098323,0,2.3
2023-03-18 22:14:47.299501,0,2.3
2023-03-18 22:14:57.528832,0,2.4
2023-03-18 22:15:07.698171,0,2.1
2023-03-18 22:15:17.867691,0,1.9
2023-03-18 22:15:28.041757,0,0.5
2023-03-18 22:15:38.317674,0,2.4
2023-03-18 22:15:48.517196,0,2.3
2023-03-18 22:15:58.708323,0,2.2
2023-03-18 22:16:08.898297,0,2.4
2023-03-18 22:16:19.089832,0,2.3
2023-03-18 22:16:29.267458,0,2.3
2023-03-18 22:16:39.442534,0,1
2023-03-18 22:16:49.683306,0,1.5
2023-03-18 22:16:59.885032,0,2.3
2023-03-18 22:17:10.067064,0,2.6
2023-03-18 22:17:20.268852,0,2.2
2023-03-18 22:17:30.463695,0,2.2
2023-03-18 22:17:40.638635,0,2.4
2023-03-18 22:17:50.821969,0,1.9
2023-03-18 22:18:01.001022,0,0.7
2023-03-18 22:18:11.196828,0,2.3
2023-03-18 22:18:21.443654,0,2.2
2023-03-18 22:18:31.669116,0,2.3
2023-03-18 22:18:42.025783,0,2.5
2023-03-18 22:18:52.260534,0,2.3
2023-03-18 22:19:02.430809,0,2.2
2023-03-18 22:19:12.615572,0,1
2023-03-18 22:19:22.811617,0,1.5
2023-03-18 22:19:33.019804,0,2.3
2023-03-18 22:19:43.302789,0,2.5
2023-03-18 22:19:53.578211,0,2.2
2023-03-18 22:20:03.785475,0,2.2
2023-03-18 22:20:13.983616,0,2.1
2023-03-18 22:20:24.160575,0,2.2
2023-03-18 22:20:34.343799,0,0.3
2023-03-18 22:20:44.638838,0,2.3
2023-03-18 22:20:54.844056,0,2.2
2023-03-18 22:21:05.043833,0,2.3
2023-03-18 22:21:15.242236,0,2.3
2023-03-18 22:21:25.435589,0,2.4
2023-03-18 22:21:35.612081,0,2.3
2023-03-18 22:21:45.777282,0,1
2023-03-18 22:21:55.965411,0,1.4
2023-03-18 22:22:06.178685,0,2.4
2023-03-18 22:22:16.748519,0,2.2
2023-03-18 22:22:26.977530,0,2.2
2023-03-18 22:22:37.190869,0,2.3
2023-03-18 22:22:47.381106,0,2.2
2023-03-18 22:22:57.619594,0,2.2
2023-03-18 22:23:07.787588,0,0.6
2023-03-18 22:23:18.018265,0,2
2023-03-18 22:23:28.198983,0,2.2
2023-03-18 22:23:38.407380,0,2.7
2023-03-18 22:23:48.600612,0,2.3
2023-03-18 22:23:58.812447,0,2.2
2023-03-18 22:24:08.989489,0,2.2
2023-03-18 22:24:19.165928,0,1.8
2023-03-18 22:24:29.398201,0,1
