Time,CPU Usage %,Temperature (C)
2023-03-18 22:47:49.014862,2.2,0
2023-03-18 22:47:59.217906,2.2,0
2023-03-18 22:48:09.417950,2.3,0
2023-03-18 22:48:19.617768,2.2,0
2023-03-18 22:48:29.802814,2.1,0
2023-03-18 22:48:39.987077,2.3,0
2023-03-18 22:48:50.400766,0.5,0
2023-03-18 22:49:00.590444,1.9,0
2023-03-18 22:49:10.818698,2.3,0
2023-03-18 22:49:21.023296,2.5,0
2023-03-18 22:49:31.240450,2.3,0
2023-03-18 22:49:41.512532,2.5,0
2023-03-18 22:49:51.676797,2.2,0
2023-03-18 22:50:01.939576,1.5,0
2023-03-18 22:50:12.117703,0.7,0
2023-03-18 22:50:22.321299,2.2,0
2023-03-18 22:50:32.523661,2.3,0
2023-03-18 22:50:42.831506,2.5,0
2023-03-18 22:50:53.021751,2.2,0
2023-03-18 22:51:03.207819,2.3,0
2023-03-18 22:51:13.402436,2.1,0
2023-03-18 22:51:23.598697,0.5,0
2023-03-18 22:51:33.797518,2,0
2023-03-18 22:51:44.005230,2.4,0
2023-03-18 22:51:54.206256,2.2,0
2023-03-18 22:52:04.428950,2.3,0
2023-03-18 22:52:14.635671,2.2,0
2023-03-18 22:52:24.807985,2.2,0
2023-03-18 22:52:34.990041,1.6,0
2023-03-18 22:52:45.163100,0.9,0
2023-03-18 22:52:55.407658,2.2,0
2023-03-18 22:53:05.598613,2.4,0
2023-03-18 22:53:15.800231,2.3,0
2023-03-18 22:53:26.009299,2.4,0
2023-03-18 22:53:36.234963,2.8,0
2023-03-18 22:53:46.428815,2.3,0
2023-03-18 22:53:56.606337,0.5,0
2023-03-18 22:54:06.791845,2,0
2023-03-18 22:54:17.003771,2.2,0
2023-03-18 22:54:27.191677,2.2,0
2023-03-18 22:54:37.395964,2.4,0
2023-03-18 22:54:47.610414,2.2,0
2023-03-18 22:54:57.791556,2.1,0
2023-03-18 22:55:07.964835,1.4,0
2023-03-18 22:55:18.164004,0.9,0
2023-03-18 22:55:28.376518,2.3,0
2023-03-18 22:55:38.586727,2.5,0
2023-03-18 22:55:48.794789,2.3,0
2023-03-18 22:55:59.066836,2.2,0
2023-03-18 22:56:09.259191,2.3,0
2023-03-18 22:56:19.429547,2.1,0
2023-03-18 22:56:29.612450,0.4,0
2023-03-18 22:56:39.811661,2.2,0
2023-03-18 22:56:50.042009,2.2,0
2023-03-18 22:57:00.246189,2.2,0
2023-03-18 22:57:10.456971,2.5,0
2023-03-18 22:57:20.668710,2.2,0
2023-03-18 22:57:30.845168,2.3,0
2023-03-18 22:57:41.027593,1.6,0
2023-03-18 22:57:51.208149,1.2,0
2023-03-18 22:58:01.457185,2.2,0
2023-03-18 22:58:11.668749,2.2,0
2023-03-18 22:58:21.888517,2.2,0
2023-03-18 22:58:32.087275,2.3,0
2023-03-18 22:58:42.323802,2.2,0
2023-03-18 22:58:52.489819,2.2,0
2023-03-18 22:59:02.711769,0.4,0
2023-03-18 22:59:12.891067,2.1,0
2023-03-18 22:59:23.101926,2.2,0
2023-03-18 22:59:33.299649,2.3,0
2023-03-18 22:59:43.510299,2.5,0
2023-03-18 22:59:53.697222,2.3,0
2023-03-18 23:00:03.890445,2.5,0
2023-03-18 23:00:14.067586,1.3,0
2023-03-18 23:00:24.241074,1,0
2023-03-18 23:00:34.451753,2.2,0
2023-03-18 23:00:44.695691,2.3,0
2023-03-18 23:00:54.896685,2.3,0
2023-03-18 23:01:05.096960,2.3,0
2023-03-18 23:01:15.266459,2.3,0
2023-03-18 23:01:25.451114,2.1,0
2023-03-18 23:01:35.636285,0.4,0
2023-03-18 23:01:45.853513,2.1,0
2023-03-18 23:01:56.120722,2.3,0
2023-03-18 23:02:06.315310,2.5,0
2023-03-18 23:02:16.513076,2.3,0
2023-03-18 23:02:26.719628,2.4,0
2023-03-18 23:02:36.893753,2.4,0
2023-03-18 23:02:47.066594,1.2,0
2023-03-18 23:02:57.252009,1.3,0
2023-03-18 23:03:07.452726,2.3,0
2023-03-18 23:03:17.660507,2.1,0
2023-03-18 23:03:27.873945,2.2,0
2023-03-18 23:03:38.070443,2.8,0
2023-03-18 23:03:48.257916,2.1,0
2023-03-18 23:03:58.441489,2.3,0
2023-03-18 23:04:08.650449,0.3,0
2023-03-18 23:04:18.843968,2.6,0
2023-03-18 23:04:29.049793,2.2,0
2023-03-18 23:04:39.251443,2.4,0
2023-03-18 23:04:49.450719,2.2,0
2023-03-18 23:04:59.746352,2.2,0
2023-03-18 23:05:09.921108,2.2,0
2023-03-18 23:05:20.097930,1.1,0
2023-03-18 23:05:30.276742,1.3,0
2023-03-18 23:05:40.486948,2.4,0
2023-03-18 23:05:50.709466,2.2,0
2023-03-18 23:06:00.918877,2.5,0
2023-03-18 23:06:11.123135,2.2,0
2023-03-18 23:06:21.308903,2.3,0
2023-03-18 23:06:31.475578,2.4,0
2023-03-18 23:06:41.701117,0.4,0
2023-03-18 23:06:51.903680,2.2,0
2023-03-18 23:07:02.094177,2.4,0
2023-03-18 23:07:12.297651,10.8,0
2023-03-18 23:07:22.469843,2.6,0
2023-03-18 23:07:32.666559,2.8,0
2023-03-18 23:07:42.846782,2.9,0
2023-03-18 23:07:53.023619,1.4,0
2023-03-18 23:08:03.307722,2,0
2023-03-18 23:08:13.543339,2.8,0
2023-03-18 23:08:23.737486,2.7,0
2023-03-18 23:08:33.939208,2.8,0
2023-03-18 23:08:44.186009,2.8,0
2023-03-18 23:08:54.362491,2.6,0
2023-03-18 23:09:04.531038,2.7,0
